회차,1,2,3,4,5,6,보너스
1125,6,11,15,24,35,44,5
1124,3,7,12,18,22,40,29
1123,10,13,28,31,39,41,1
1122,2,19,26,30,34,43,15
1121,6,21,34,36,37,40,11
1120,3,13,14,25,43,45,17
1119,6,7,14,15,36,38,24
1118,11,13,20,21,32,44,19
1117,3,10,16,21,38,40,30
1116,17,33,35,38,40,43,24
1115,1,2,9,11,18,27,3
1114,8,12,15,23,24,34,33
1113,1,4,11,28,40,41,31
1112,5,11,13,19,28,30,4
1111,10,16,19,21,30,41,13
1110,4,13,20,28,39,45,2
1109,2,8,13,19,27,45,12
1108,12,18,29,30,32,42,10
1107,2,3,4,11,17,35,1
1106,1,12,16,29,34,40,6
1105,5,6,12,18,26,35,4
1104,8,9,18,22,34,43,24
1103,3,11,19,20,21,30,45
1102,9,14,19,25,33,41,2
1101,21,22,26,28,32,34,20
1100,14,21,24,34,41,43,1
1099,2,3,13,20,31,39,36
1098,1,9,12,24,34,39,3
1097,1,7,16,18,29,33,23
1096,1,2,11,21,29,43,26
1095,5,12,13,31,39,41,3
1094,2,10,13,20,30,38,3
1093,8,17,20,22,34,43,30
1092,7,12,20,28,39,43,33
1091,2,4,12,14,26,40,1
1090,3,10,15,17,20,40,2
1089,4,15,19,21,29,45,3
1088,2,21,25,29,33,35,44
1087,4,14,15,21,35,39,33
1086,11,12,13,17,29,37,1
1085,8,15,18,27,33,42,14
1084,6,15,22,23,28,35,14
1083,1,11,23,33,40,45,29
1082,1,10,18,23,33,43,15
1081,3,10,15,19,21,28,1
1080,7,17,21,22,32,41,3
1079,1,3,11,12,17,23,22
1078,1,4,10,11,29,40,17
1077,4,8,17,28,40,44,1
1076,8,10,14,29,38,45,35
1075,3,9,10,17,20,35,2
1074,10,12,16,19,21,27,4
1073,1,12,14,24,34,44,38
1072,5,11,13,15,31,44,39
1071,3,9,14,16,21,39,33
1070,3,4,9,10,28,30,1
1069,1,11,21,29,40,41,12
1068,10,11,15,22,25,44,14
1067,2,12,20,27,34,44,36
1066,2,3,13,18,25,29,32
1065,2,3,4,14,20,38,25
1064,1,5,13,16,27,42,12
1063,5,10,11,16,25,32,19
1062,3,4,15,17,21,30,22
1061,6,11,16,19,21,31,1
1060,5,10,11,18,25,35,2
1059,2,13,18,28,29,37,21
1058,1,4,11,16,33,39,27
1057,2,16,19,28,33,41,24
1056,1,2,22,23,25,34,14
1055,4,10,13,15,36,38,28
1054,1,4,22,29,34,41,11
1053,3,12,23,31,38,44,22
1052,5,9,20,27,30,33,1
1051,1,2,15,24,35,39,11
1050,4,8,15,29,35,43,18
1049,5,6,15,19,22,34,12
1048,6,13,22,28,29,36,39
1047,3,11,14,15,18,21,31
1046,3,14,20,21,32,38,25
1045,6,12,22,31,38,40,30
1044,5,7,12,15,23,30,42
1043,1,7,17,19,30,31,3
1042,3,9,13,19,38,42,39
1041,2,5,19,22,26,31,39
1040,11,15,18,20,21,44,1
1039,2,17,25,29,35,43,1
1038,6,10,12,30,31,40,19
1037,1,10,12,14,21,36,11
1036,4,13,14,23,24,45,20
1035,1,2,14,16,35,45,21
1034,2,11,18,20,25,32,24
1033,3,4,9,18,35,42,32
1032,10,15,22,31,34,40,39
1031,1,10,18,20,24,31,2
1030,7,8,19,21,39,43,11
1029,2,3,13,15,23,31,9
1028,2,6,11,12,14,19,20
1027,5,10,13,14,20,25,1
1026,2,8,11,19,25,33,30
